Why can't I sleep at night?;The inevitable heat death of the universe.
What's that smell?;A micropig wearing a tiny raincoat and booties.
I got 99 problems but ___ ain't one.;Free samples.
What's the next superhero/sidekick duo?;A squadron of moles wearing aviator goggles.
What's there a ton of in heaven?;Puppies!
What would grandma find disturbing yet oddly charming?;A sad fat dragon with no friends.
What's the new fad diet?;A zesty breakfast burrito.
What will always get you laid?;The violation of our most basic human rights.
What's my secret power?;Active listening.
What are my parents hiding from me?;The heart of a child.
What's the latest gossip?;A bag of magic beans.
Why am I sticky?;A ball of earwax semen and toenail clippings.
What gets better with age?;A lifetime of sadness.
What's a girl's best friend?;The blood of Christ.
What's the most emo?;My inner demons.
How did I lose my virginity?;An icepick lobotomy.
Why do I hurt all over?;My genitals.
What's a sure sign of a midlife crisis?;Switching to GeicoÂ®.
What ended my last relationship?;An honest cop with nothing left to lose.
What's that sound?;Firing a rifle into the air while balls deep in a squealing hog.
Why am I so tired?;Doing the right thing.
What am I giving up for Lent?;Science.
What's the cruelest thing that can happen?;A pyramid of severed heads.
What's my anti-drug?;Funky fresh rhymes.
What never fails to liven up the party?;The American Dream.
What's the new meat?;Hobos.
Why can't I have nice things?;A windmill full of corpses.
What do old people smell like?;Some god-damn peace and quiet.
What gets me unfriended on Facebook?;Licking things to claim them as your own.
What will I bring back in time to convince people that I am a powerful wizard?;My relationship status.
What's the most controversial thing at Thanksgiving dinner?;The true meaning of Christmas.
What will be the title of my autobiography?;A mopey zoo lion.
What's the worst thing to say at a job interview?;The heart of a child.
What does the U.S. airdrop to the children of Afghanistan?;A can of whoop-ass.
What helps Obama unwind?;The blood of Christ.
I drink to forget ___.;My inner demons.
What's the next Happy Meal toy?;A bag of magic beans.
What's Batman's guilty pleasure?;The blood of Christ.
What's a common misconception?;Science.
What's the most addictive game?;A bunch of idiots playing a card game instead of interacting like normal humans.
What's the meaning of life?;The inevitable heat death of the universe.;
What do I regret the most?;An icepick lobotomy.
What can you always find in your couch cushions?;"A ball of earwax, semen, and toenail clippings."
What's the best way to stay warm?;The blood of Christ.
What would be an awkward thing to hear in a silence?;Firing a rifle into the air while balls deep in a squealing hog.
What's the best use for a time machine?;My relationship status.
What's the most interesting thing about history?;The inevitable heat death of the universe.
What's my spirit animal?;A sad fat dragon with no friends.
What are the elders of the internet angry about today?;A bunch of idiots playing a card game instead of interacting like normal humans.
What's that sound?; A sweaty, panting leather daddy.
What's that smell?; A turd.
Why am I sticky?; A sad handjob.
What never fails to liven up the party?; A sausage festival.
What's a girl's best friend?; A big black dick.
What ended my last relationship?; A bleached asshole.
